userId,recommendedItems
naver40660383,"['kwmtvfe7cRuDHSA91NLE', 'm3ig53oKWBbIFhwmAZPj', 'yRB9cKNka4SlPJVhQD6c', 'euWprzr7oOp0CpidXfEF', 'GknZovLMgdn2kaQfhHDW', 'gFa0KoITX15Z0ISIuPjP', 'NsCdQi8TezSVzUP7rcOA', 'Jc2kteYpGUvjZR5QT3GS', 'OOO8EGsoDhTAPfcmXDSf', 'tk9ZcndBfpAWMkcSuln9']"
kakao2112687470,"['Arw9lzVAUG2VFGtjDdQg', 'eOHLvAxRdLgAO1sXx9rQ', '3P3p9weF4D96pNfuxaIz', 'xROCcqLhhMZZoeHFlqho', '8wp2tmLagaERcFZlro5C', '4DtZDDFycc6mbfwbWH6J', 'HejAgQG0HB9jI0G6xGLO', '3f3Flsj4ZVind59GQfjh', 'TIy6xiUisGdsnGAPa0EW', 'CGXs2CgPQHeT5dIBY0Sn']"
36a8842f-5b4d-48ec-a53b-d7260fc60542,"['4SWvrLYozwbAyHBvjfhe', 'LXwVVSVKAJOYrOwdTwT3', 'Iup4QwehHraoIlTQLay0', 'K6dU8TGcd8zs5B68z2If', 'OIkZAV77BMXfhIgtJ6yX', 'G6cVpi6ydB81rm1P412K', 'NZKkm7ncCxfHdf5CycOh', 'qFV0pC0UT4ijp3toaAA3', 'PQ6I8aevjOAePAn31ovd', 'rv8e0vA47slzEIGNImgS']"
kakao1935559350,"['6JEEdjUieqshYeSb7ALy', 'esw88imFlbeHxlWTxbVZ', 'zyzx4oWNJw7KtzrI1QuA', 'PH5YxomvF2NSVkCxvJO2', 'KPPdqrZv7ZQ6CrDU0VVa', 'nyULkfIF1oH6kPNAPSLE', 'UDUX76J5yr9ioAMh4Qvz', 'DjDheYAM7TIqplCyCiRI', '5ZM6PJSd31Wkbpg2G6W7', 'v4biBdYz5wIqcIikubdL']"
msVIEMTRCXR1LOAyYxuXgMLvAA93,"['G5d5eWqidj6YeThpjftd', 'iE1dNfJsdt0q8AFJ1XpH', '05ywL11diZ87kumObl33', 'daxSCmVcskQEKjGoU1tm', 'A2GelVK2395umPzoEfeL', 'hOaWmPtk21PGjjVjMBKV', 'qxi8YndiWKOmLD3smv45', '9FfqSpHP1ZC7NDZm1Bzm', '2LBNjOdkf1Ip7Fsvv8CA', 'ahZk6lmlzJqhUhdPzjxm']"
kakao2119538857,"['ceUDQJlN1ffNwTCiurIW', 'qxogZ7cgStNxGtwmiFjN', 'magic-choi', 'AzwqX3bE23H4ekxYGNOK', 'r8ij1T27gkOr08jzV2wR', '5dltCrAquTTVmJMpzGNO', 'kLGKmVGvkrASaI8s0BZH', 'vF5LUcRazY5TNQZZEIL2', 'lPTM0oRzdVQYYa0OGeqT', 'iE1dNfJsdt0q8AFJ1XpH']"
kakao1376869153,"['pSUMF0cjZoogJ9PBskKi', 'nE3Rka3C8quVUg6sJTXu', 'QAm5bifGxXMD1jKU6DLv', 'iE1dNfJsdt0q8AFJ1XpH', 'v4biBdYz5wIqcIikubdL', 'moYKLXDrO2k0QXOK4dip', 'tc4HO2QBtuOlHPYWUILG', 'BjkCb7AJ62j1x7nZ0yaM', 'EMOZiiQ5mVoydKXdQZYr', 'sfCxoddIvlEWDmBXckPt']"
kakao1903557044,"['a8DjgRQ2b7lvpXKkozgd', 'eQ7LNoUAxM3MoSAW3XHj', 'rKSgbs5C4dOLyUPUSto5', 'f7doxxqjPGYEQ7BHzFfC', 'GrHsWZo3smZuIi6OScc7', 'Oh6bmh8S6HARPyFBAsKl', 'taAqhVz62rYVn7JFZYY7', 'yOhNtoQsxcIrcUjzzum1', 'WF9WMczr3eaNSmNKdsrd', '4Sg9FO21CPs548dzsotq']"
kakao1233699194,"['CEiXCoBHGHPW0LBLlzrd', '8fGdjI8KZKLFBvZf7j3l', 'DnBwkpXT4J3iLHOiTcV8', 'NaU8WV4wlebvUgcyilgm', 'HaQfATCmPLOu8yqtKfQC', 'EMOZiiQ5mVoydKXdQZYr', 'uLxk3mHrO9KoFJRIAFsJ', 'mrHFrCxxZgSjumzFdCNu', 'zhKgwUAy287YrpVughUk', '67eVVPmUAmAvg9k13tOz']"
kakao1630871401,"['tc4HO2QBtuOlHPYWUILG', 'zNPMrjfRPtNDUl9UDRJX', 'FDXSS0plp3cnlTPR8uv2', 'LDsDoEsreKNcS6GUq3H1', 'mEwSCjY5ucVqG8Os0dAm', '3QRvfiaV09NtSVIxps09', '67eVVPmUAmAvg9k13tOz', 'mKT0yyKVIawEJcehOy8v', 'OrVaYFhmtgb3ITSrdOtd', 'LkRfakH9WrQEwRlXsBkC']"
